Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Height,Weight
Thomas Rawls,SEA,23,rb,9,7,109,349,3,22,45,3.2,38.8,0,5-9,215lb
Mike Gillislee ,BUF,26,,15,1,101,577,8,41,44,5.7,38.5,1,5-11,210lb
Alfred Blue,HOU,25,,14,2,100,420,1,23,25,4.2,30.0,2,6-2,225lb
Matt Jones,WAS,23,rb,7,7,99,460,3,28,57,4.6,65.7,3,6-2,239lb
DeAngelo Williams,PIT,33,,9,4,98,343,4,22,17,3.5,38.1,0,5-9,207lb
Tyrod Taylor ,BUF,27,QB,15,15,95,580,6,34,49,6.1,38.7,4,6-1,217lb
Darren Sproles*,PHI,33,rb,15,5,94,438,2,22,25,4.7,29.2,1,5-6,190lb
Theo Riddick,DET,25,RB,10,8,92,357,1,21,42,3.9,35.7,0,5-9,201lb
Giovani Bernard,CIN,25,,10,2,91,337,2,16,17,3.7,33.7,1,5-9,205lb
Cam Newton,CAR,27,QB,15,14,90,359,5,28,28,4.0,23.9,3,6-5,245lb
Dwayne Washington,DET,22,,12,2,90,265,1,11,28,2.9,22.1,0,6-1,223lb
Kenneth Dixon,BAL,22,,12,0,88,382,2,30,20,4.3,31.8,1,5-10,228lb
Charcandrick West ,KAN,25,,15,2,88,293,1,15,28,3.3,19.5,0,5-10,205lb
Zach Zenner,DET,25,,14,4,88,334,4,23,20,3.8,23.9,1,5-11,224lb
Justin Forsett,3TM,31,,9,6,87,291,1,0,64,3.3,32.3,2,5-8,195lb
DeAndre Washington,OAK,23,,14,2,87,467,2,19,30,5.4,33.4,1,5-8,210lb
Jalen Richard,OAK,23,,16,0,83,491,1,15,75,5.9,30.7,0,5-8,205lb
Ty Montgomery,GNB,23,RB,15,6,77,457,3,20,61,5.9,30.5,2,6-0,216lb
Wendell Smallwood,PHI,22,,13,3,77,312,1,20,19,4.1,24.0,1,5-10,208lb
Rex Burkhead ,CIN,26,,16,1,74,344,2,24,17,4.6,21.5,1,5-10,215lb
Shaun Draughn,SFO,29,,16,1,74,196,4,15,18,2.6,12.3,1,6-0,205lb
Duke Johnson,CLE,23,rb,16,1,73,358,1,18,22,4.9,22.4,2,5-9,210lb
Russell Wilson ,SEA,28,QB,16,16,72,259,1,18,18,3.6,16.2,8,5-11,215lb
Eddie Lacy,GNB,26,rb,5,5,71,360,0,15,31,5.1,72.0,0,5-11,250lb
Colin Kaepernick,SFO,29,QB,12,11,69,468,2,29,30,6.8,39.0,9,6-4,225lb
Alfred Morris ,DAL,28,,14,0,69,243,2,15,17,3.5,17.4,0,5-10,222lb
Chris Thompson,WAS,26,,16,0,68,356,3,16,25,5.2,22.3,2,5-8,195lb
Aaron Rodgers *,GNB,33,QB,16,16,67,369,4,26,23,5.5,23.1,8,6-2,225lb
Dion Lewis,NWE,26,rb,7,5,64,283,0,14,15,4.4,40.4,1,5-8,195lb
Andrew Luck ,IND,27,QB,15,15,64,341,2,20,33,5.3,22.7,6,6-4,240lb
James Starks,GNB,30,,9,4,63,145,0,9,11,2.3,16.1,1,6-1,203lb
Jeremy Langford,CHI,25,,12,3,62,200,4,12,23,3.2,16.7,2,6-0,211lb
Kenneth Farrow,SDG,23,,13,2,60,192,0,11,11,3.2,14.8,2,5-9,215lb
Marcus Mariota,TEN,23,QB,15,15,60,349,2,22,41,5.8,23.3,9,6-4,222lb
Blake Bortles ,JAX,24,QB,16,16,58,359,3,20,27,6.2,22.4,8,6-5,236lb
