Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Height,Weight
Antonio Brown *+,PIT,27,WR,16,16,193,136,70.5%,1834,13.5,10,84,59,9.5,8.5,114.6,3,5-10,185lb
Julio Jones *+,ATL,26,WR,16,16,203,136,67.0%,1871,13.8,8,93,70,9.2,8.5,116.9,3,6-3,220lb
DeAndre Hopkins*,HOU,23,WR,16,16,192,111,57.8%,1521,13.7,11,83,61,7.9,6.9,95.1,1,6-1,212lb
Jarvis Landry*,MIA,23,WR,16,14,166,110,66.3%,1157,10.5,4,60,50,7.0,6.9,72.3,1,5-11,196lb
Larry Fitzgerald*,ARI,32,WR,16,16,145,109,75.2%,1215,11.1,9,65,44,8.4,6.8,75.9,2,6-3,218lb
Brandon Marshall*,NYJ,31,WR,16,16,173,109,63.0%,1502,13.8,14,76,69,8.7,6.8,93.9,3,6-5,232lb
Demaryius Thomas,DEN,28,WR,16,16,177,105,59.3%,1304,12.4,6,63,72,7.4,6.6,81.5,2,6-3,225lb
Odell Beckham Jr.*,NYG,23,WR,15,15,158,96,60.8%,1450,15.1,13,68,87,9.2,6.4,96.7,2,5-11,198lb
Delanie Walker*,TEN,31,TE,15,10,133,94,70.7%,1088,11.6,6,53,61,8.2,6.3,72.5,0,6-2,248lb
Golden Tate,DET,27,WR,16,16,128,90,70.3%,813,9.0,6,50,43,6.4,5.6,50.8,1,5-10,197lb
Calvin Johnson *,DET,30,WR,16,16,149,88,59.1%,1214,13.8,9,66,57,8.1,5.5,75.9,1,6-5,237lb
Jeremy Maclin,KAN,27,WR,15,15,124,87,70.2%,1088,12.5,8,50,61,8.8,5.8,72.5,2,6-0,200lb
Jordan Reed,WAS,25,TE,14,8,114,87,76.3%,952,10.9,11,54,32,8.4,6.2,68.0,3,6-2,242lb
A.J. Green*,CIN,27,WR,16,16,132,86,65.2%,1297,15.1,10,63,80,9.8,5.4,81.1,1,6-4,210lb
Michael Crabtree,OAK,28,WR,16,15,146,85,58.2%,922,10.8,9,47,38,6.3,5.3,57.6,1,6-1,215lb
Jordan Matthews,PHI,23,WR,16,12,126,85,67.5%,997,11.7,8,46,78,7.9,5.3,62.3,2,6-3,215lb
Brandin Cooks,NOR,22,WR,16,12,129,84,65.1%,1138,13.5,9,45,71,8.8,5.3,71.1,1,5-10,183lb
Eric Decker,NYJ,28,WR,15,13,132,80,60.6%,1027,12.8,12,60,35,7.8,5.3,68.5,1,6-3,214lb
Theo Riddick,DET,24,rb,16,1,99,80,80.8%,697,8.7,3,32,34,7.0,5.0,43.6,1,5-9,201lb
Allen Robinson*,JAX,22,WR,16,16,151,80,53.0%,1400,17.5,14,61,90,9.3,5.0,87.5,0,6-2,220lb
Danny Woodhead,SDG,30,,16,2,106,80,75.5%,755,9.4,6,39,61,7.1,5.0,47.2,0,5-9,200lb
Gary Barnidge*,CLE,30,TE,16,13,125,79,63.2%,1043,13.2,9,52,40,8.3,4.9,65.2,0,6-6,250lb
Randall Cobb,GNB,25,WR,16,15,129,79,61.2%,829,10.5,6,42,53,6.4,4.9,51.8,1,5-10,192lb
Doug Baldwin ,SEA,27,WR,16,16,103,78,75.7%,1069,13.7,14,49,80,10.4,4.9,66.8,1,5-10,192lb
Greg Olsen*,CAR,30,TE,16,16,124,77,62.1%,1104,14.3,7,52,52,8.9,4.8,69.0,1,6-5,255lb
Jason Witten,DAL,33,TE,16,16,104,77,74.0%,713,9.3,3,37,35,6.9,4.8,44.6,1,6-6,263lb
Emmanuel Sanders ,DEN,28,WR,15,15,136,76,55.9%,1135,14.9,6,51,75,8.3,5.1,75.7,2,5-11,180lb
Kamar Aiken,BAL,26,WR,16,14,127,75,59.1%,944,12.6,5,55,48,7.4,4.7,59.0,1,6-2,216lb
Zach Ertz,PHI,25,te,15,7,112,75,67.0%,853,11.4,2,40,60,7.6,5.0,56.9,1,6-5,250lb
Mike Evans,TAM,22,WR,15,14,148,74,50.0%,1206,16.3,3,63,68,8.1,4.9,80.4,1,6-5,231lb
Ben Watson,NOR,35,TE,16,16,110,74,67.3%,825,11.1,6,42,46,7.5,4.6,51.6,1,6-3,255lb
Devonta Freeman *,ATL,23,RB,15,13,97,73,75.3%,578,7.9,3,21,44,6.0,4.9,38.5,3,5-8,206lb
Amari Cooper*,OAK,21,WR,16,15,130,72,55.4%,1070,14.9,6,47,68,8.2,4.5,66.9,1,6-1,210lb
Pierre Garcon,WAS,29,WR,16,16,111,72,64.9%,777,10.8,6,44,39,7.0,4.5,48.6,0,6-0,211lb
