Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Height,Weight
Roddy White*+,ATL,29,WR,16,16,179,115,64.2%,1389,12.1,10,73,46,7.8,7.2,86.8,1,6-0,211lb
Reggie Wayne*+,IND,32,WR,16,16,175,111,63.4%,1355,12.2,6,72,50,7.7,6.9,84.7,1,6-0,203lb
Jason Witten*+,DAL,28,TE,16,16,128,94,73.4%,1002,10.7,9,42,33,7.8,5.9,62.6,1,6-6,263lb
Santana Moss,WAS,31,WR,16,16,145,93,64.1%,1115,12.0,6,61,56,7.7,5.8,69.7,3,5-10,193lb
Larry Fitzgerald*,ARI,27,WR,16,15,173,90,52.0%,1137,12.6,6,58,41,6.6,5.6,71.1,0,6-3,218lb
Andre Johnson *,HOU,29,WR,13,13,138,86,62.3%,1216,14.1,8,59,60,8.8,6.6,93.5,1,6-3,229lb
Brandon Marshall,MIA,26,WR,14,14,146,86,58.9%,1014,11.8,3,56,46,6.9,6.1,72.4,2,6-5,232lb
Wes Welker*,NWE,29,WR,15,11,123,86,69.9%,848,9.9,7,47,35,6.9,5.7,56.5,1,5-9,185lb
Danny Amendola,STL,25,wr,16,6,123,85,69.1%,689,8.1,3,35,36,5.6,5.3,43.1,2,5-11,185lb
Marques Colston,NOR,27,WR,15,11,131,84,64.1%,1023,12.2,7,57,43,7.8,5.6,68.2,0,6-4,225lb
Steve Johnson,BUF,24,WR,16,13,141,82,58.2%,1073,13.1,10,61,45,7.6,5.1,67.1,1,6-2,210lb
Davone Bess,MIA,25,wr,16,8,125,79,63.2%,820,10.4,5,42,29,6.6,4.9,51.3,3,5-10,190lb
Hakeem Nicks,NYG,22,WR,13,12,128,79,61.7%,1052,13.3,11,45,46,8.2,6.1,80.9,1,6-0,210lb
LeSean McCoy,PHI,22,RB,15,13,91,78,85.7%,592,7.6,2,29,40,6.5,5.2,39.5,2,5-11,210lb
Chris Cooley,WAS,28,TE,16,16,126,77,61.1%,849,11.0,3,40,35,6.7,4.8,53.1,3,6-3,255lb
Calvin Johnson *,DET,25,WR,15,15,137,77,56.2%,1120,14.5,12,54,87,8.2,5.1,74.7,1,6-5,237lb
Brandon Lloyd*,DEN,29,WR,16,11,153,77,50.3%,1448,18.8,11,72,71,9.5,4.8,90.5,0,6-0,200lb
Greg Jennings*,GNB,27,WR,16,16,125,76,60.8%,1265,16.6,12,51,86,10.1,4.8,79.1,2,6-0,198lb
Dwayne Bowe*,KAN,26,WR,16,16,133,72,54.1%,1162,16.1,15,55,75,8.7,4.5,72.6,1,6-2,221lb
Terrell Owens,CIN,37,WR,14,11,139,72,51.8%,983,13.7,9,47,78,7.1,5.1,70.2,0,6-3,224lb
Percy Harvin,MIN,22,WR,14,13,109,71,65.1%,868,12.2,5,40,53,8.0,5.1,62.0,1,5-11,200lb
Brandon Pettigrew,DET,25,TE,16,16,111,71,64.0%,722,10.2,4,33,35,6.5,4.4,45.1,0,6-5,257lb
Tony Gonzalez*,ATL,34,TE,16,16,108,70,64.8%,656,9.4,6,40,34,6.1,4.4,41.0,0,6-5,247lb
Jeremy Maclin,PHI,22,WR,16,16,115,70,60.9%,964,13.8,10,40,83,8.4,4.4,60.3,1,6-0,200lb
Miles Austin*,DAL,26,WR,16,16,119,69,58.0%,1041,15.1,7,46,69,8.7,4.3,65.1,1,6-2,215lb
Ben Watson,CLE,30,TE,16,16,102,68,66.7%,763,11.2,3,39,44,7.5,4.3,47.7,0,6-3,255lb
Pierre Garcon,IND,24,WR,14,14,119,67,56.3%,784,11.7,6,41,57,6.6,4.8,56.0,0,6-0,211lb
Chad Johnson ,CIN,32,WR,14,12,126,67,53.2%,831,12.4,4,47,42,6.6,4.8,59.4,0,6-1,188lb
Jacob Tamme,IND,25,TE,16,8,93,67,72.0%,631,9.4,4,35,30,6.8,4.2,39.4,0,6-4,234lb
Arian Foster *+,HOU,24,RB,16,13,84,66,78.6%,604,9.2,2,34,50,7.2,4.1,37.8,3,6-1,227lb
Lance Moore,NOR,27,,16,1,94,66,70.2%,763,11.6,8,40,80,8.1,4.1,47.7,2,5-9,187lb
Mike Thomas,JAX,23,WR,16,11,102,66,64.7%,820,12.4,4,38,50,8.0,4.1,51.3,3,5-8,187lb
Kellen Winslow,TAM,27,TE,16,11,98,66,67.3%,730,11.1,5,36,41,7.4,4.1,45.6,1,6-4,240lb
Jabar Gaffney,DEN,30,WR,16,11,112,65,58.0%,875,13.5,2,41,50,7.8,4.1,54.7,1,6-2,200lb
