Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Height,Weight
Larry Fitzgerald*,ARI,33,WR,16,16,150,107,71.3%,1023,9.6,6,60,33,6.8,6.7,63.9,2,6-3,218lb
Antonio Brown *+,PIT,28,WR,15,15,154,106,68.8%,1284,12.1,12,64,51,8.3,7.1,85.6,0,5-10,185lb
Odell Beckham Jr.*,NYG,24,WR,16,16,169,101,59.8%,1367,13.5,10,66,75,8.1,6.3,85.4,3,5-11,198lb
Julian Edelman,NWE,30,WR,16,13,159,98,61.6%,1106,11.3,3,56,77,7.0,6.1,69.1,3,5-10,198lb
Jordy Nelson,GNB,31,WR,16,16,152,97,63.8%,1257,13.0,14,62,60,8.3,6.1,78.6,1,6-3,217lb
Mike Evans*,TAM,23,WR,16,16,173,96,55.5%,1321,13.8,12,82,45,7.6,6.0,82.6,0,6-5,231lb
Doug Baldwin *,SEA,28,WR,16,15,125,94,75.2%,1128,12.0,7,51,59,9.0,5.9,70.5,1,5-10,192lb
Jarvis Landry*,MIA,24,WR,16,16,131,94,71.8%,1136,12.1,4,53,71,8.7,5.9,71.0,2,5-11,196lb
Michael Thomas,NOR,23,WR,15,12,121,92,76.0%,1137,12.4,9,62,46,9.4,6.1,75.8,2,6-3,212lb
T.Y. Hilton*,IND,27,WR,16,16,155,91,58.7%,1448,15.9,6,66,63,9.3,5.7,90.5,0,5-10,183lb
Golden Tate,DET,28,WR,16,16,135,91,67.4%,1077,11.8,4,47,67,8.0,5.7,67.3,2,5-10,197lb
Demaryius Thomas*,DEN,29,WR,16,16,144,90,62.5%,1083,12.0,5,50,55,7.5,5.6,67.7,2,6-3,225lb
Michael Crabtree,OAK,29,WR,16,16,145,89,61.4%,1003,11.3,8,56,56,6.9,5.6,62.7,2,6-1,215lb
Dennis Pitta,BAL,31,TE,16,12,121,86,71.1%,729,8.5,2,37,30,6.0,5.4,45.6,1,6-4,245lb
Travis Kelce*+,KAN,27,TE,16,15,117,85,72.6%,1125,13.2,4,55,80,9.6,5.3,70.3,0,6-5,260lb
Stefon Diggs,MIN,23,WR,13,11,112,84,75.0%,903,10.8,3,48,46,8.1,6.5,69.5,0,6-0,191lb
Amari Cooper*,OAK,22,WR,16,14,132,83,62.9%,1153,13.9,5,49,64,8.7,5.2,72.1,2,6-1,210lb
Julio Jones *+,ATL,27,WR,14,14,129,83,64.3%,1409,17.0,6,64,75,10.9,5.9,100.6,0,6-3,220lb
Kyle Rudolph ,MIN,27,TE,16,16,132,83,62.9%,840,10.1,7,50,44,6.4,5.2,52.5,0,6-6,265lb
David Johnson*+,ARI,25,RB,16,16,120,80,66.7%,879,11.0,4,42,58,7.3,5.0,54.9,5,6-1,224lb
Greg Olsen*,CAR,31,TE,16,16,129,80,62.0%,1073,13.4,3,54,78,8.3,5.0,67.1,0,6-5,255lb
Pierre Garcon,WAS,30,WR,16,16,114,79,69.3%,1041,13.2,3,53,70,9.1,4.9,65.1,0,6-0,211lb
Emmanuel Sanders *,DEN,29,WR,16,16,137,79,57.7%,1032,13.1,5,50,64,7.5,4.9,64.5,1,5-11,180lb
Brandin Cooks,NOR,23,WR,16,12,117,78,66.7%,1173,15.0,8,46,98,10.0,4.9,73.3,1,5-10,183lb
Zach Ertz,PHI,26,TE,14,12,106,78,73.6%,816,10.5,4,42,30,7.7,5.6,58.3,0,6-5,250lb
DeAndre Hopkins,HOU,24,WR,16,16,151,78,51.7%,954,12.2,4,57,51,6.3,4.9,59.6,0,6-1,212lb
Terrelle Pryor,CLE,27,WR,16,15,140,77,55.0%,1007,13.1,4,50,54,7.2,4.8,62.9,1,6-4,228lb
Davante Adams,GNB,24,WR,16,15,121,75,62.0%,997,13.3,12,46,66,8.2,4.7,62.3,2,6-1,215lb
Cole Beasley,DAL,27,WR,16,6,98,75,76.5%,833,11.1,5,51,47,8.5,4.7,52.1,0,5-8,174lb
Le'Veon Bell*,PIT,24,RB,12,12,94,75,79.8%,616,8.2,2,32,32,6.6,6.3,51.3,4,6-1,225lb
Jordan Matthews,PHI,24,WR,14,13,117,73,62.4%,804,11.0,3,38,54,6.9,5.2,57.4,1,6-3,215lb
Allen Robinson,JAX,23,WR,16,16,151,73,48.3%,883,12.1,6,51,42,5.8,4.6,55.2,1,6-2,220lb
Willie Snead ,NOR,24,WR,15,4,104,72,69.2%,895,12.4,4,51,49,8.6,4.8,59.7,2,5-11,205lb
Mike Wallace,BAL,30,WR,16,16,116,72,62.1%,1017,14.1,4,43,95,8.8,4.5,63.6,1,6-0,200lb
