Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Height,Weight
Pierre Garcon,WAS,27,WR,16,16,181,113,62.4%,1346,11.9,5,61,53,7.4,7.1,84.1,1,6-0,211lb
Antonio Brown *,PIT,25,WR,16,14,167,110,65.9%,1499,13.6,8,70,56,9.0,6.9,93.7,1,5-10,185lb
Andre Johnson *,HOU,32,WR,16,16,181,109,60.2%,1407,12.9,5,69,62,7.8,6.8,87.9,0,6-3,229lb
Julian Edelman,NWE,27,WR,16,11,151,105,69.5%,1056,10.1,6,54,44,7.0,6.6,66.0,6,5-10,198lb
Brandon Marshall*,CHI,29,WR,16,16,164,100,61.0%,1295,13.0,12,70,44,7.9,6.3,80.9,0,6-5,232lb
A.J. Green*,CIN,25,WR,16,16,178,98,55.1%,1426,14.6,11,65,82,8.0,6.1,89.1,1,6-4,210lb
Kendall Wright,TEN,24,WR,16,12,139,94,67.6%,1079,11.5,2,55,45,7.8,5.9,67.4,2,5-10,185lb
Dez Bryant*,DAL,25,WR,16,16,159,93,58.5%,1233,13.3,13,68,79,7.8,5.8,77.1,3,6-2,220lb
Demaryius Thomas*,DEN,26,WR,16,16,142,92,64.8%,1430,15.5,14,66,78,10.1,5.8,89.4,2,6-3,225lb
Alshon Jeffery*,CHI,23,WR,16,14,148,89,60.1%,1421,16.0,7,62,80,9.6,5.6,88.8,3,6-3,218lb
Eric Decker,DEN,26,WR,16,16,136,87,64.0%,1288,14.8,11,63,61,9.5,5.4,80.5,2,6-3,214lb
Josh Gordon*+,CLE,22,WR,14,14,159,87,54.7%,1646,18.9,9,64,95,10.4,6.2,117.6,0,6-3,225lb
Jimmy Graham*+,NOR,27,TE,16,12,142,86,60.6%,1215,14.1,16,61,56,8.6,5.4,75.9,0,6-7,265lb
Anquan Boldin,SFO,33,WR,16,16,129,85,65.9%,1179,13.9,7,63,63,9.1,5.3,73.7,0,6-1,220lb
Harry Douglas,ATL,29,WR,16,11,132,85,64.4%,1067,12.6,2,47,80,8.1,5.3,66.7,3,6-0,183lb
Jordy Nelson,GNB,28,WR,16,16,127,85,66.9%,1314,15.5,8,60,76,10.3,5.3,82.1,0,6-3,217lb
Calvin Johnson *+,DET,28,WR,14,14,156,84,53.8%,1492,17.8,12,69,87,9.6,6.0,106.6,1,6-5,237lb
Tony Gonzalez*,ATL,37,TE,16,16,121,83,68.6%,859,10.3,8,57,25,7.1,5.2,53.7,0,6-5,247lb
Larry Fitzgerald*,ARI,30,WR,16,16,135,82,60.7%,954,11.6,10,49,75,7.1,5.1,59.6,1,6-3,218lb
T.Y. Hilton,IND,24,WR,16,10,139,82,59.0%,1083,13.2,5,46,73,7.8,5.1,67.7,1,5-10,183lb
DeSean Jackson*,PHI,27,WR,16,16,126,82,65.1%,1332,16.2,9,60,61,10.6,5.1,83.3,1,5-10,175lb
Jordan Cameron*,CLE,25,TE,15,14,118,80,67.8%,917,11.5,7,47,53,7.8,5.3,61.1,1,6-5,265lb
Vincent Jackson,TAM,30,WR,16,16,160,78,48.8%,1224,15.7,7,60,60,7.7,4.9,76.5,1,6-5,230lb
Antonio Gates,SDG,33,TE,16,15,114,77,67.5%,872,11.3,4,49,56,7.6,4.8,54.5,2,6-4,255lb
Pierre Thomas,NOR,29,RB,16,9,84,77,91.7%,513,6.7,3,21,29,6.1,4.8,32.1,2,5-11,210lb
Brian Hartline ,MIA,27,WR,16,15,133,76,57.1%,1016,13.4,4,53,50,7.6,4.8,63.5,0,6-2,180lb
Danny Woodhead,SDG,28,,16,2,88,76,86.4%,605,8.0,6,32,39,6.9,4.8,37.8,2,5-9,200lb
Marques Colston,NOR,30,WR,15,11,111,75,67.6%,943,12.6,5,54,35,8.5,5.0,62.9,0,6-4,225lb
Matt Forte *,CHI,28,RB,16,16,95,74,77.9%,594,8.0,3,26,34,6.3,4.6,37.1,2,6-1,221lb
Victor Cruz,NYG,27,WR,14,12,122,73,59.8%,998,13.7,4,45,70,8.2,5.2,71.3,1,6-0,204lb
Greg Olsen,CAR,28,TE,16,16,111,73,65.8%,816,11.2,6,45,31,7.4,4.6,51.0,0,6-5,255lb
Mike Wallace,MIA,27,WR,16,16,141,73,51.8%,930,12.7,5,46,57,6.6,4.6,58.1,0,6-0,200lb
Wes Welker,DEN,32,WR,13,13,111,73,65.8%,778,10.7,10,49,33,7.0,5.6,59.8,1,5-9,185lb
Jason Witten*,DAL,31,TE,16,16,111,73,65.8%,851,11.7,8,44,34,7.7,4.6,53.2,0,6-6,263lb
