Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Height,Weight
Leonard Fournette ,JAX,23,RB,8,8,133,439,5,23,25,3.3,54.9,0,6-0,228lb
Aaron Jones,GNB,24,RB,12,8,133,728,8,41,67,5.5,60.7,1,5-9,208lb
Royce Freeman,DEN,22,rb,14,8,130,521,5,30,24,4.0,37.2,1,6-0,238lb
Jamaal Williams,GNB,23,rb,16,8,121,464,3,25,20,3.8,29.0,0,6-0,213lb
Josh Adams,PHI,22,rb,14,5,120,511,3,23,29,4.3,36.5,1,6-2,225lb
Kenyan Drake,MIA,24,rb,16,7,120,535,4,23,54,4.5,33.4,2,6-1,211lb
Kerryon Johnson,DET,21,rb,10,7,118,641,3,32,71,5.4,64.1,1,5-11,211lb
Chris Ivory,BUF,30,,13,1,115,385,1,25,21,3.3,29.6,1,6-0,223lb
Alex Collins,BAL,24,RB,10,10,114,411,7,22,19,3.6,41.1,3,5-10,208lb
Mike Davis,SEA,25,,15,2,112,514,4,26,37,4.6,34.3,0,5-9,221lb
Alfred Morris ,SFO,30,,12,1,111,428,2,24,51,3.9,35.7,2,5-10,222lb
Austin Ekeler,LAC,23,,14,3,106,554,3,25,41,5.2,39.6,1,5-10,200lb
T.J. Yeldon,JAX,25,rb,14,5,104,414,1,16,20,4.0,29.6,1,6-1,223lb
Cam Newton,CAR,29,QB,14,14,101,488,4,36,29,4.8,34.9,6,6-5,245lb
Tarik Cohen*+,CHI,23,RB,16,7,99,444,3,20,32,4.5,27.8,7,5-6,191lb
Deshaun Watson *,HOU,23,QB,16,16,99,551,5,37,34,5.6,34.4,9,6-2,220lb
James White ,NWE,26,,16,3,94,425,5,25,27,4.5,26.6,0,5-10,205lb
Elijah McGuire ,NYJ,24,,8,3,92,276,3,15,34,3.0,34.5,2,5-10,214lb
Marshawn Lynch ,OAK,32,rb,6,6,90,376,3,20,52,4.2,62.7,0,5-11,215lb
Ito Smith,ATL,23,,14,0,90,315,4,18,18,3.5,22.5,1,5-9,195lb
Josh Allen ,BUF,22,QB,12,11,89,631,8,41,45,7.1,52.6,8,6-5,237lb
Wendell Smallwood,PHI,24,RB,16,6,87,364,3,23,15,4.2,22.8,2,5-10,208lb
Nyheim Hines,IND,22,,16,4,85,314,2,18,18,3.7,19.6,1,5-9,196lb
Rashaad Penny,SEA,22,,14,0,85,419,2,20,38,4.9,29.9,0,5-11,220lb
Bilal Powell,NYJ,30,RB,7,7,80,343,0,16,38,4.3,49.0,2,5-10,204lb
Dak Prescott *,DAL,25,QB,16,16,75,305,6,30,28,4.1,19.1,12,6-2,238lb
Corey Clement,PHI,24,,11,0,68,259,2,15,32,3.8,23.5,4,5-10,220lb
Mitchell Trubisky *,CHI,24,QB,14,14,68,421,3,29,39,6.2,30.1,6,6-2,215lb
C.J. Anderson,2TM,27,,11,3,67,403,2,35,46,6.0,36.6,0,5-8,225lb
Russell Wilson *,SEA,30,QB,16,16,67,376,0,25,40,5.6,23.5,10,5-11,215lb
Jeff Wilson,SFO,23,,6,2,66,266,0,13,18,4.0,44.3,3,6-0,194lb
Marcus Mariota,TEN,25,QB,14,13,64,357,2,26,27,5.6,25.5,9,6-4,222lb
Kenneth Dixon,BAL,24,,6,0,60,333,2,20,37,5.6,55.5,2,5-10,228lb
Chase Edmonds,ARI,22,,16,0,60,208,2,14,29,3.5,13.0,1,5-9,210lb
Patrick Mahomes *+,KAN,23,QB,16,16,60,272,2,19,28,4.5,17.0,9,6-3,230lb
Jordan Wilkins,IND,24,,16,3,60,336,1,15,53,5.6,21.0,2,6-1,216lb
Blake Bortles ,JAX,26,QB,13,12,58,365,1,28,41,6.3,28.1,8,6-5,236lb
Rex Burkhead ,NWE,28,,8,4,57,186,0,18,12,3.3,23.3,2,5-10,215lb
Giovani Bernard,CIN,27,,12,4,56,211,3,14,23,3.8,17.6,0,5-9,205lb
