Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Preston Parker,7,1,0,0,0,7,0,0,0
Jacoby Jones,7,2,0,0,0,10,1,2,0
Armanti Edwards,7,1,0,0,0,7,0,0,0
Rex Grossman,6,3,0,0,0,5,0,0,0
Pierre Garcon,6,2,0,0,0,11,1,2,0
Kevin Curtis,6,1,0,0,0,6,0,0,0
Mark Clayton,6,1,0,0,0,6,0,0,0
Deon Butler,6,2,0,0,0,4,0,0,0
Brandon Banks,6,2,0,0,0,3,0,0,0
Damian Williams,5,1,0,0,0,5,0,0,0
Jordan Senn,5,1,0,0,0,5,1,1,0
Tyler Palko,5,2,0,0,0,6,1,2,0
Corey McIntyre,5,4,1,0,0,2,3,1.333,0
Jay Feely,5,1,1,0,0,5,1,1,0
Early Doucet,5,2,0,0,0,3,1,2,0
Javier Arenas,5,1,0,0,0,5,0,0,0
Golden Tate,4,2,0,0,0,3,0,0,0
Luke McCown,4,1,0,0,0,4,0,0,0
Greg Jones,4,2,0,0,0,3,0,0,0
Braylon Edwards,4,1,0,0,0,4,0,0,0
Dwayne Bowe,4,1,0,0,0,4,0,0,0
Roddy White,3,1,0,0,0,3,0,0,0
Naaman Roosevelt,3,1,0,0,0,3,0,0,0
Brandon Marshall,3,2,0,0,0,4,0,0,0
Jimmy Graham,3,1,0,0,0,3,1,1,0
Tim Castille,3,5,0,0,0,3,0,0,0
Sammie Stroughter,2,1,0,0,0,2,1,1,0
Jerome Simpson,2,1,0,0,0,2,0,0,0
Mike Sellers,2,4,0,0,0,1,1,4,0
Antwaan Randle El,2,1,0,0,0,2,0,0,0
Mario Manningham,2,1,0,0,0,2,0,0,0
Johnny Knox,2,1,0,0,0,2,0,0,0
Larry Johnson,2,5,0,0,0,7,0,0,0
David Gettis,2,3,0,0,0,19,1,3,0
Heath Evans,2,2,0,0,0,2,0,0,0
Jeff Dugan,2,2,0,0,0,2,1,2,0
Jehuu Caulcrick,2,1,0,0,0,2,1,1,0
Anquan Boldin,2,2,0,0,0,3,0,0,0
Demaryius Thomas,1,2,0,0,0,1,0,0,1
Naufahu Tahi,1,1,0,0,0,1,1,1,0
Shaun Smith,1,1,1,0,0,1,1,1,0
Cedric Peerman,1,2,0,0,0,1,0,0,0
Brian Moorman,1,2,0,0,0,1,0,0,0
Donald Jones,1,3,0,0,0,2,0,0,0
Ahmard Hall,1,1,0,0,0,1,1,1,0
Marques Colston,1,1,0,0,0,1,0,0,0
Kerry Collins,1,10,0,0,0,4,1,10,2
