Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Height,Weight
Wes Welker*+,NWE,30,WR,16,15,173,122,70.5%,1569,12.9,9,77,99,9.1,7.6,98.1,1,5-9,185lb
Roddy White*,ATL,30,WR,16,16,180,100,55.6%,1296,13.0,8,77,43,7.2,6.3,81.0,0,6-0,211lb
Jimmy Graham*,NOR,25,TE,16,11,149,99,66.4%,1310,13.2,11,74,59,8.8,6.2,81.9,1,6-7,265lb
Calvin Johnson *+,DET,26,WR,16,16,158,96,60.8%,1681,17.5,16,76,73,10.6,6.0,105.1,1,6-5,237lb
Rob Gronkowski*+,NWE,22,TE,16,16,124,90,72.6%,1327,14.7,17,69,52,10.7,5.6,82.9,0,6-6,268lb
Percy Harvin,MIN,23,WR,16,14,121,87,71.9%,967,11.1,6,47,52,8.0,5.4,60.4,2,5-11,200lb
Darren Sproles,NOR,28,rb,16,4,111,86,77.5%,710,8.3,7,35,39,6.4,5.4,44.4,1,5-6,190lb
Brandon Pettigrew,DET,26,TE,16,16,126,83,65.9%,777,9.4,5,38,27,6.2,5.2,48.6,0,6-5,257lb
Victor Cruz,NYG,25,wr,16,7,131,82,62.6%,1536,18.7,9,59,99,11.7,5.1,96.0,1,6-0,204lb
Dwayne Bowe,KAN,27,WR,16,14,142,81,57.0%,1159,14.3,5,56,52,8.2,5.1,72.4,1,6-2,221lb
Brandon Marshall*,MIA,27,WR,16,16,141,81,57.4%,1214,15.0,6,53,65,8.6,5.1,75.9,1,6-5,232lb
Marques Colston,NOR,28,wr,14,7,107,80,74.8%,1143,14.3,8,56,50,10.7,5.7,81.6,1,6-4,225lb
Larry Fitzgerald*,ARI,28,WR,16,16,154,80,51.9%,1411,17.6,8,60,73,9.2,5.0,88.2,0,6-3,218lb
Tony Gonzalez*,ATL,35,TE,16,16,116,80,69.0%,875,10.9,7,53,30,7.5,5.0,54.7,0,6-5,247lb
Aaron Hernandez,NWE,22,TE,14,12,113,79,69.9%,910,11.5,7,47,46,8.1,5.6,65.0,1,6-2,250lb
Steve Smith*,CAR,32,WR,16,16,129,79,61.2%,1394,17.6,7,53,77,10.8,4.9,87.1,3,5-9,195lb
Jason Witten,DAL,29,TE,16,16,117,79,67.5%,942,11.9,5,47,64,8.1,4.9,58.9,1,6-6,263lb
Steve Johnson,BUF,25,WR,16,16,134,76,56.7%,1004,13.2,7,44,55,7.5,4.8,62.8,0,6-2,210lb
Hakeem Nicks,NYG,23,WR,15,15,133,76,57.1%,1192,15.7,7,54,68,9.0,5.1,79.5,0,6-0,210lb
Ray Rice*,BAL,24,RB,16,16,104,76,73.1%,704,9.3,3,30,52,6.8,4.8,44.0,2,5-9,195lb
Reggie Wayne,IND,33,WR,16,16,132,75,56.8%,960,12.8,4,50,56,7.3,4.7,60.0,0,6-0,203lb
Kellen Winslow,TAM,28,TE,16,15,123,75,61.0%,763,10.2,2,40,37,6.2,4.7,47.7,2,6-4,240lb
Nate Washington,TEN,28,WR,16,15,121,74,61.2%,1023,13.8,7,47,57,8.5,4.6,63.9,0,6-1,183lb
Nate Burleson,DET,30,WR,16,11,110,73,66.4%,757,10.4,3,36,47,6.9,4.6,47.3,1,6-0,198lb
Michael Crabtree,SFO,24,WR,15,14,115,72,62.6%,874,12.1,4,40,52,7.6,4.8,58.3,0,6-1,215lb
Mike Wallace*,PIT,25,WR,16,14,114,72,63.2%,1193,16.6,8,53,95,10.5,4.5,74.6,1,6-0,200lb
Pierre Garcon,IND,25,WR,16,16,134,70,52.2%,947,13.5,6,42,87,7.1,4.4,59.2,2,6-0,211lb
Brandon Lloyd,2TM,30,,15,14,148,70,47.3%,966,13.8,5,0,44,6.5,4.7,64.4,1,6-0,200lb
Antonio Brown *,PIT,23,wr,16,3,124,69,55.6%,1108,16.1,2,57,79,8.9,4.3,69.3,0,5-10,185lb
Jabar Gaffney,WAS,31,WR,16,15,114,68,59.6%,947,13.9,5,50,45,8.3,4.3,59.2,1,6-2,200lb
Jordy Nelson,GNB,26,WR,16,9,96,68,70.8%,1263,18.6,15,47,93,13.2,4.3,78.9,0,6-3,217lb
Vernon Davis ,SFO,27,TE,16,16,95,67,70.5%,792,11.8,6,33,44,8.3,4.2,49.5,3,6-3,248lb
Greg Jennings*,GNB,28,WR,13,13,101,67,66.3%,949,14.2,9,43,79,9.4,5.2,73.0,0,6-0,198lb
A.J. Green*,CIN,23,WR,15,15,115,65,56.5%,1057,16.3,7,40,58,9.2,4.3,70.5,1,6-4,210lb
