Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Height,Weight
Adrian Peterson*+,MIN,30,RB,16,16,327,1485,11,72,80,4.5,92.8,7,6-1,220lb
Doug Martin *+,TAM,26,RB,16,16,288,1402,6,68,84,4.9,87.6,5,5-9,210lb
Latavius Murray*,OAK,25,RB,16,16,266,1066,6,49,54,4.0,66.6,4,6-3,230lb
Devonta Freeman *,ATL,23,RB,15,13,265,1056,11,71,39,4.0,70.4,3,5-8,206lb
Frank Gore,IND,32,RB,16,16,260,967,6,48,37,3.7,60.4,4,5-9,212lb
Chris Ivory*,NYJ,27,RB,15,14,247,1070,7,51,58,4.3,71.3,4,6-0,223lb
Jonathan Stewart*,CAR,28,RB,13,13,242,989,6,43,44,4.1,76.1,3,5-10,240lb
Darren McFadden,DAL,28,RB,16,10,239,1089,3,53,50,4.6,68.1,3,6-2,210lb
Todd Gurley*,STL,21,RB,13,12,229,1106,10,47,71,4.8,85.1,3,6-1,224lb
Jeremy Hill,CIN,23,RB,16,15,223,794,11,47,38,3.6,49.6,3,6-1,230lb
Matt Forte ,CHI,30,RB,13,13,218,898,4,47,27,4.1,69.1,2,6-1,221lb
Ronnie Hillman,DEN,24,RB,16,10,207,863,7,44,72,4.2,53.9,3,5-9,200lb
LeSean McCoy*,BUF,27,RB,12,12,203,895,3,42,48,4.4,74.6,2,5-11,210lb
Alfred Morris ,WAS,27,RB,16,16,202,751,1,35,48,3.7,46.9,0,5-10,222lb
DeAngelo Williams,PIT,32,RB,16,10,200,907,11,53,55,4.5,56.7,4,5-9,207lb
Chris Johnson ,ARI,30,RB,11,9,196,814,3,33,62,4.2,74.0,2,5-11,195lb
Rashad Jennings,NYG,30,RB,16,16,195,863,3,42,38,4.4,53.9,2,6-1,234lb
Lamar Miller,MIA,24,RB,16,16,194,872,8,41,85,4.5,54.5,1,5-10,221lb
DeMarco Murray,PHI,27,RB,15,8,193,702,6,48,54,3.6,46.8,2,6-1,220lb
Eddie Lacy,GNB,25,RB,15,12,187,758,3,39,29,4.1,50.5,4,5-11,250lb
