Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Height,Weight
Isaiah Crowell,CLE,22,RB,16,9,185,706,4,35,54,3.8,44.1,0,5-11,225lb
Melvin Gordon,SDG,22,RB,14,12,184,641,0,36,27,3.5,45.8,6,6-1,215lb
Alfred Blue,HOU,24,RB,16,9,183,698,2,34,41,3.8,43.6,2,6-2,225lb
T.J. Yeldon,JAX,22,RB,12,12,182,740,2,29,45,4.1,61.7,0,6-1,223lb
Mark Ingram,NOR,26,RB,12,10,166,769,6,47,70,4.6,64.1,2,5-9,215lb
LeGarrette Blount,NWE,29,rb,12,6,165,703,6,39,38,4.3,58.6,1,6-0,247lb
Charcandrick West ,KAN,24,RB,15,9,160,634,4,36,38,4.0,42.3,1,5-10,205lb
Giovani Bernard,CIN,24,rb,16,1,154,730,2,36,28,4.7,45.6,1,5-9,205lb
C.J. Anderson,DEN,24,rb,15,6,152,720,5,34,48,4.7,48.0,2,5-8,225lb
Justin Forsett,BAL,30,RB,10,10,151,641,2,41,33,4.2,64.1,0,5-8,195lb
Jeremy Langford,CHI,24,,16,2,148,537,6,28,23,3.6,33.6,0,6-0,211lb
James Starks,GNB,29,,16,4,148,601,2,30,65,4.1,37.6,5,6-1,203lb
Thomas Rawls,SEA,22,RB,13,7,147,830,4,37,69,5.6,63.8,1,5-9,215lb
Matt Jones,WAS,22,,13,0,144,490,3,31,39,3.4,37.7,5,6-2,239lb
Ameer Abdullah,DET,22,RB,16,9,143,597,2,31,36,4.2,37.3,5,5-9,203lb
Antonio Andrews,TEN,23,RB,14,10,143,520,3,31,38,3.6,37.1,1,5-10,225lb
Javorius Allen,BAL,24,rb,16,6,137,514,1,29,44,3.8,32.1,2,6-0,218lb
Cam Newton*+,CAR,26,QB,16,16,132,636,10,59,47,4.8,39.8,5,6-5,245lb
David Johnson,ARI,24,rb,16,5,125,581,8,36,47,4.6,36.3,4,6-1,224lb
Carlos Hyde,SFO,25,RB,7,7,115,470,3,26,22,4.1,67.1,1,6-0,229lb
Le'Veon Bell,PIT,23,rb,6,6,113,556,3,27,42,4.9,92.7,0,6-1,225lb
Marshawn Lynch ,SEA,29,rb,7,6,111,417,3,29,24,3.8,59.6,0,5-11,215lb
Charles Sims,TAM,25,,16,0,107,529,0,21,59,4.9,33.1,2,6-0,211lb
Ryan Mathews,PHI,28,rb,13,6,106,539,6,34,63,5.1,41.5,3,6-0,220lb
Duke Johnson,CLE,22,rb,16,7,104,379,0,19,39,3.6,23.7,1,5-9,210lb
Tyrod Taylor *,BUF,26,QB,14,14,104,568,4,28,31,5.5,40.6,9,6-1,217lb
Russell Wilson *,SEA,27,QB,16,16,103,553,1,31,24,5.4,34.6,7,5-11,215lb
Chris Polk,HOU,26,,15,2,99,334,1,13,20,3.4,22.3,0,5-10,224lb
Danny Woodhead,SDG,30,,16,2,98,336,3,21,27,3.4,21.0,0,5-9,200lb
Tim Hightower,NOR,29,,8,3,96,375,4,24,26,3.9,46.9,0,6-0,226lb
Karlos Williams ,BUF,22,,11,3,93,517,7,25,41,5.6,47.0,2,6-1,225lb
Joique Bell,DET,29,rb,13,5,90,311,4,19,36,3.5,23.9,1,5-11,220lb
Andre Williams,NYG,23,,16,0,88,257,1,12,35,2.9,16.1,0,6-0,220lb
Tevin Coleman,ATL,22,,12,3,87,392,1,14,46,4.5,32.7,3,6-1,210lb
Alex Smith,KAN,31,QB,16,16,84,498,2,34,49,5.9,31.1,4,6-4,213lb
Darren Sproles*,PHI,32,,16,4,83,317,3,21,27,3.8,19.8,1,5-6,190lb
Shaun Draughn,2TM,28,,11,6,78,273,1,0,30,3.5,24.8,1,6-0,205lb
Joseph Randle ,DAL,24,rb,6,6,76,315,4,15,37,4.1,52.5,1,6-0,204lb
Tre Mason,STL,22,,13,3,75,207,1,10,15,2.8,15.9,3,5-9,207lb
Spencer Ware,KAN,24,,11,2,72,403,6,20,52,5.6,36.6,0,5-10,224lb
Jamaal Charles,KAN,29,rb,5,5,71,364,4,22,34,5.1,72.8,2,5-11,199lb
Bilal Powell,NYJ,27,,11,2,70,313,1,18,24,4.5,28.5,2,5-10,204lb
Denard Robinson,JAX,25,,13,3,67,266,1,11,31,4.0,20.5,3,5-11,199lb
Brandon Bolden,NWE,25,,15,2,63,207,0,9,14,3.3,13.8,0,5-11,220lb
Arian Foster ,HOU,29,,4,4,63,163,1,12,16,2.6,40.8,2,6-1,227lb
Mike Tolbert*+,CAR,30,,16,3,62,256,1,18,29,4.1,16.0,0,5-9,243lb
Terrance West ,2TM,24,,8,0,62,231,0,0,17,3.7,28.9,2,5-10,225lb
Shane Vereen,NYG,26,,16,0,61,260,0,16,39,4.3,16.3,1,5-10,205lb
Ryan Fitzpatrick,NYJ,33,QB,16,16,60,270,2,23,19,4.5,16.9,5,6-2,228lb
Donald Brown,SDG,28,,10,2,59,229,1,12,53,3.9,22.9,1,5-11,210lb
Aaron Rodgers *,GNB,32,QB,16,16,58,344,1,20,18,5.9,21.5,8,6-2,225lb
Andy Dalton,CIN,28,QB,13,13,57,142,3,15,12,2.5,10.9,5,6-2,220lb
Jonathan Grimes,HOU,26,,14,0,56,282,1,11,37,5.0,20.1,0,5-10,207lb
Khiry Robinson,NOR,26,,8,0,56,180,4,15,14,3.2,22.5,0,6-0,220lb
