Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,Height,Weight
Ben Roethlisberger,PIT,28,QB,12,12,9-3-0,240,389,61.7,3200,17,4.4,5,1.3,149,56,8.2,8.5,13.3,266.7,97.0,68.2,32,220,7.08,7.35,7.6,2,3,6-5,240lb
Michael Vick*,PHI,30,QB,12,12,8-3-0,233,372,62.6,3018,21,5.6,6,1.6,119,91,8.1,8.5,13.0,251.5,100.2,65.0,34,210,6.92,7.29,8.4,4,3,6-0,210lb
David Garrard,JAX,32,QB,14,14,8-6-0,236,366,64.5,2734,23,6.3,15,4.1,130,75,7.5,6.9,11.6,195.3,90.8,67.0,33,253,6.22,5.68,8.3,1,5,6-1,235lb
Brett Favre ,MIN,41,QB,13,13,5-8-0,217,358,60.6,2509,11,3.1,19,5.3,112,53,7.0,5.2,11.6,193.0,69.9,35.2,22,139,6.24,4.57,5.8,1,2,6-2,222lb
Alex Smith,SFO,26,QB,11,10,3-7-0,204,342,59.6,2370,14,4.1,10,2.9,102,62,6.9,6.4,11.6,215.5,82.1,44.4,25,140,6.08,5.61,6.8,,,6-4,213lb
Jason Campbell,OAK,29,QB,13,12,7-5-0,194,329,59.0,2387,13,4.0,8,2.4,111,73,7.3,7.0,12.3,183.6,84.5,49.2,33,208,6.02,5.74,9.1,2,2,6-5,235lb
Derek Anderson ,ARI,27,QB,12,9,2-7-0,169,327,51.7,2065,7,2.1,10,3.1,96,43,6.3,5.4,12.2,172.1,65.9,30.9,25,176,5.37,4.49,7.1,1,1,6-6,235lb
Jon Kitna,DAL,38,QB,10,9,4-5-0,209,318,65.7,2365,16,5.0,12,3.8,97,71,7.4,6.7,11.3,236.5,88.9,55.7,21,100,6.68,6.03,6.2,1,2,6-2,219lb
Jimmy Clausen,CAR,23,QB,13,10,1-9-0,157,299,52.5,1558,3,1.0,9,3.0,73,55,5.2,4.1,9.9,119.8,58.4,13.2,33,223,4.02,2.98,9.9,,,6-3,217lb
Kerry Collins,TEN,38,qb,10,7,2-5-0,160,278,57.6,1823,14,5.0,8,2.9,90,80,6.6,6.3,11.4,182.3,82.2,59.4,13,91,5.95,5.68,4.5,1,1,6-5,247lb
Colt McCoy,CLE,24,QB,8,8,2-6-0,135,222,60.8,1576,6,2.7,9,4.1,77,47,7.1,5.8,11.7,197.0,74.5,53.0,23,132,5.89,4.73,9.4,,,6-1,212lb
Tony Romo ,DAL,30,qb,6,6,1-5-0,148,213,69.5,1605,11,5.2,7,3.3,73,69,7.5,7.1,10.8,267.5,94.9,68.1,7,41,7.11,6.68,3.2,,,6-2,230lb
Kevin Kolb,PHI,26,qb,7,5,2-3-0,115,189,60.8,1197,7,3.7,7,3.7,58,83,6.3,5.4,10.4,171.0,76.1,46.4,15,99,5.38,4.52,7.4,,,6-3,218lb
