Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Height,Weight
Felix Jones,DAL,24,RB,12,8,127,575,1,28,40,4.5,47.9,5,6-0,200lb
Cam Newton*,CAR,22,QB,16,16,126,706,14,53,49,5.6,44.1,5,6-5,245lb
Mark Ingram,NOR,22,,10,4,122,474,5,29,35,3.9,47.4,1,5-9,215lb
Tim Tebow,DEN,24,QB,14,11,122,660,6,38,32,5.4,47.1,14,6-2,236lb
Mike Tolbert,SDG,26,,15,1,121,490,8,26,40,4.0,32.7,2,5-9,243lb
Joseph Addai,IND,28,RB,12,11,118,433,1,16,16,3.7,36.1,1,5-11,214lb
Marion Barber III,CHI,28,,11,1,114,422,6,26,29,3.7,38.4,1,5-11,218lb
Dexter McCluster,KAN,22,,16,4,114,516,1,30,32,4.5,32.3,4,5-9,165lb
Darren McFadden,OAK,24,rb,7,7,113,614,4,24,70,5.4,87.7,1,6-2,210lb
Kendall Hunter,SFO,23,,16,1,112,473,2,23,44,4.2,29.6,1,5-7,199lb
Bernard Scott,CIN,27,,16,1,112,380,3,21,25,3.4,23.8,0,5-10,200lb
Isaac Redman,PIT,27,,16,1,110,479,3,30,27,4.4,29.9,2,6-0,230lb
Pierre Thomas,NOR,27,RB,16,7,110,562,5,29,33,5.1,35.1,2,5-11,210lb
Toby Gerhart ,MIN,24,rb,16,5,109,531,1,26,67,4.9,33.2,1,6-0,234lb
Ricky Williams,BAL,34,,16,0,108,444,2,20,28,4.1,27.8,2,5-10,226lb
C.J. Spiller,BUF,24,RB,16,11,107,561,4,27,38,5.2,35.1,2,5-11,194lb
Delone Carter ,IND,24,,16,3,101,377,2,18,42,3.7,23.6,3,5-9,225lb
Lance Ball,DEN,26,,16,0,96,402,1,26,34,4.2,25.1,2,5-9,223lb
Montario Hardesty,CLE,24,,10,4,88,266,0,6,19,3.0,26.6,1,5-11,205lb
Stevan Ridley,NWE,22,,16,2,87,441,1,18,33,5.1,27.6,1,5-11,220lb
Darren Sproles,NOR,28,rb,16,4,87,603,2,27,36,6.9,37.7,1,5-6,190lb
Cadillac Williams,STL,29,,11,1,87,361,1,18,23,4.1,32.8,1,5-11,204lb
Jahvid Best,DET,22,RB,6,6,84,390,2,16,88,4.6,65.0,0,5-9,190lb
Tim Hightower,WAS,25,rb,5,5,84,321,1,13,22,3.8,64.2,0,6-0,226lb
Maurice Morris ,DET,32,rb,16,5,80,316,1,12,31,4.0,19.8,1,5-11,216lb
Kahlil Bell,CHI,25,,13,3,79,337,0,15,26,4.3,25.9,3,6-0,219lb
Chris Ivory,NOR,23,,6,2,79,374,1,21,35,4.7,62.3,0,6-0,223lb
Danny Woodhead,NWE,26,,15,4,77,351,1,18,12,4.6,23.4,1,5-9,200lb
Chris Ogbonnaya,2TM,25,,13,4,76,340,1,0,40,4.5,26.2,2,6-0,220lb
Michael Vick,PHI,31,QB,13,13,76,589,1,27,53,7.8,45.3,10,6-0,210lb
LaDainian Tomlinson,NYJ,32,,14,1,75,280,1,15,20,3.7,20.0,0,5-10,215lb
Kevin Smith,DET,25,,7,4,72,356,4,16,43,4.9,50.9,1,6-0,210lb
Deji Karim,JAX,25,,12,0,63,130,0,10,14,2.1,10.8,1,5-11,200lb
Colt McCoy,CLE,25,QB,13,13,61,212,0,19,20,3.5,16.3,11,6-1,212lb
Aaron Rodgers *+,GNB,28,QB,15,15,60,257,3,18,25,4.3,17.1,5,6-2,225lb
Javon Ringer,TEN,24,,12,0,59,185,1,7,25,3.1,15.4,1,5-9,200lb
Ryan Torain,WAS,25,,8,4,59,200,1,5,39,3.4,25.0,1,6-0,213lb
Keiland Williams,DET,25,,15,0,58,195,2,12,18,3.4,13.0,2,5-11,225lb
