Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Height,Weight
Maurice Jones-Drew*+,JAX,26,RB,16,16,343,1606,8,76,56,4.7,100.4,6,5-7,210lb
Michael Turner,ATL,29,RB,16,15,301,1340,11,63,81,4.5,83.8,3,5-10,244lb
Ray Rice*,BAL,24,RB,16,16,291,1364,12,54,70,4.7,85.3,2,5-9,195lb
Marshawn Lynch *,SEA,25,RB,15,15,285,1204,12,65,47,4.2,80.3,3,5-11,215lb
Frank Gore*,SFO,28,RB,16,15,282,1211,8,55,55,4.3,75.7,2,5-9,212lb
Arian Foster *,HOU,25,RB,13,13,278,1224,10,58,43,4.4,94.2,6,6-1,227lb
Cedric Benson ,CIN,29,RB,15,15,273,1067,6,51,42,3.9,71.1,5,5-11,227lb
LeSean McCoy*+,PHI,23,RB,15,15,273,1309,17,85,60,4.8,87.3,1,5-11,210lb
Chris Johnson ,TEN,26,RB,16,16,262,1047,4,47,48,4.0,65.4,3,5-11,195lb
Steven Jackson,STL,28,RB,15,15,260,1145,5,51,47,4.4,76.3,2,6-2,240lb
Michael Bush,OAK,27,RB,16,9,256,977,7,56,44,3.8,61.1,1,6-2,243lb
Shonn Greene,NYJ,26,RB,16,15,253,1054,6,46,31,4.2,65.9,1,5-10,235lb
Willis McGahee*,DEN,30,RB,15,14,249,1199,4,53,60,4.8,79.9,4,6-0,235lb
Beanie Wells ,ARI,23,RB,14,14,245,1047,10,48,71,4.3,74.8,4,6-1,235lb
Rashard Mendenhall,PIT,24,RB,15,15,228,928,9,46,68,4.1,61.9,1,5-11,210lb
Ryan Mathews*,SDG,24,RB,14,14,222,1091,6,51,39,4.9,77.9,5,6-0,220lb
Reggie Bush,MIA,26,RB,15,15,216,1086,6,41,76,5.0,72.4,4,6-0,205lb
Adrian Peterson,MIN,26,RB,12,12,208,970,12,48,54,4.7,80.8,1,6-1,220lb
Matt Forte *,CHI,26,RB,12,12,203,997,3,41,46,4.9,83.1,2,6-1,221lb
LeGarrette Blount,TAM,25,RB,14,14,184,781,5,32,54,4.2,55.8,5,6-0,247lb
BenJarvus Green-Ellis,NWE,26,RB,16,6,181,667,11,42,18,3.7,41.7,0,5-11,215lb
Ben Tate,HOU,23,rb,15,2,175,942,4,53,56,5.4,62.8,4,5-11,214lb
Ahmad Bradshaw,NYG,25,RB,12,9,171,659,9,41,37,3.9,54.9,1,5-11,195lb
Fred Jackson,BUF,30,RB,10,10,170,934,6,38,80,5.5,93.4,2,6-1,215lb
Daniel Thomas,MIA,24,rb,13,2,165,581,0,25,28,3.5,44.7,2,6-0,225lb
DeMarco Murray,DAL,23,RB,13,7,164,897,2,42,91,5.5,69.0,1,6-1,220lb
Peyton Hillis,CLE,25,RB,10,9,161,587,3,33,24,3.6,58.7,2,6-1,240lb
DeAngelo Williams,CAR,28,RB,16,14,155,836,7,33,74,5.4,52.3,0,5-9,207lb
Thomas Jones,KAN,33,RB,16,8,153,478,0,19,26,3.1,29.9,0,5-10,212lb
Brandon Jacobs,NYG,29,rb,14,6,152,571,7,32,28,3.8,40.8,3,6-4,264lb
Roy Helu,WAS,23,RB,15,5,151,640,2,31,28,4.2,42.7,2,6-0,216lb
Jackie Battle,KAN,28,,15,4,149,597,2,27,34,4.0,39.8,0,6-2,238lb
Jonathan Stewart,CAR,24,rb,16,3,142,761,4,47,32,5.4,47.6,1,5-10,240lb
Donald Brown,IND,24,,16,2,134,645,5,26,80,4.8,40.3,0,5-11,210lb
Ryan Grant,GNB,29,RB,15,14,134,559,2,27,47,4.2,37.3,2,6-1,222lb
James Starks,GNB,25,,13,2,133,578,1,31,40,4.3,44.5,2,6-1,203lb
