Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Height,Weight
LeSean McCoy*+,PHI,25,RB,16,16,314,1607,9,79,57,5.1,100.4,1,5-11,210lb
Marshawn Lynch *,SEA,27,RB,16,16,301,1257,12,73,43,4.2,78.6,4,5-11,215lb
Matt Forte *,CHI,28,RB,16,16,289,1339,9,73,55,4.6,83.7,2,6-1,221lb
Ryan Mathews,SDG,26,RB,16,14,285,1255,6,55,51,4.4,78.4,2,6-0,220lb
Eddie Lacy*,GNB,23,RB,15,15,284,1178,11,63,60,4.1,78.5,1,5-11,250lb
Chris Johnson ,TEN,28,RB,16,16,279,1077,6,57,30,3.9,67.3,3,5-11,195lb
Adrian Peterson*,MIN,28,RB,14,14,279,1266,10,61,78,4.5,90.4,5,6-1,220lb
Frank Gore*,SFO,30,RB,16,16,276,1128,9,50,51,4.1,70.5,3,5-9,212lb
Alfred Morris *,WAS,25,RB,16,16,276,1275,7,61,45,4.6,79.7,5,5-10,222lb
Jamaal Charles*+,KAN,27,RB,15,15,259,1287,12,72,46,5.0,85.8,4,5-11,199lb
Zac Stacy,STL,22,RB,14,12,250,973,7,48,40,3.9,69.5,1,5-9,216lb
Le'Veon Bell,PIT,21,RB,13,13,244,860,8,53,43,3.5,66.2,1,6-1,225lb
Knowshon Moreno,DEN,26,RB,16,15,241,1038,10,56,31,4.3,64.9,2,5-10,215lb
Maurice Jones-Drew,JAX,28,RB,15,15,234,803,5,46,48,3.4,53.5,1,5-7,210lb
Reggie Bush,DET,28,RB,14,14,223,1006,4,49,39,4.5,71.9,5,6-0,205lb
BenJarvus Green-Ellis,CIN,28,RB,16,16,220,756,7,49,25,3.4,47.3,2,5-11,215lb
Rashard Mendenhall,ARI,26,RB,15,15,217,687,8,45,28,3.2,45.8,4,5-11,210lb
DeMarco Murray*,DAL,25,RB,14,14,217,1121,9,65,43,5.2,80.1,3,6-1,220lb
Ray Rice,BAL,26,RB,15,15,214,660,4,28,47,3.1,44.0,2,5-9,195lb
Fred Jackson,BUF,32,rb,16,6,206,890,9,54,59,4.3,55.6,3,6-1,215lb
C.J. Spiller,BUF,26,RB,15,10,202,933,2,27,77,4.6,62.2,4,5-11,194lb
DeAngelo Williams,CAR,30,RB,15,15,201,843,3,36,43,4.2,56.2,3,5-9,207lb
Trent Richardson ,2TM,23,,16,10,188,563,3,0,22,3.0,35.2,3,5-9,228lb
Chris Ivory,NYJ,25,rb,15,6,182,833,3,35,69,4.6,55.5,2,6-0,223lb
Ben Tate,HOU,25,rb,14,7,181,771,4,37,60,4.3,55.1,5,5-11,214lb
Stevan Ridley,NWE,24,rb,14,6,178,773,7,40,29,4.3,55.2,4,5-11,220lb
Lamar Miller,MIA,22,RB,16,15,177,709,2,27,49,4.0,44.3,1,5-10,221lb
Bilal Powell,NYJ,25,RB,16,11,176,697,1,36,39,4.0,43.6,1,5-10,204lb
Giovani Bernard,CIN,22,,16,0,170,695,5,33,35,4.1,43.4,2,5-9,205lb
Joique Bell,DET,27,rb,16,4,166,650,8,43,20,3.9,40.6,4,5-11,220lb
Rashad Jennings,OAK,28,RB,15,8,163,733,6,35,80,4.5,48.9,0,6-1,234lb
Steven Jackson,ATL,30,RB,12,12,157,543,6,26,50,3.5,45.3,0,6-2,240lb
LeGarrette Blount,NWE,27,RB,16,7,153,772,7,37,47,5.0,48.3,3,6-0,247lb
Bernard Pierce,BAL,22,rb,16,1,152,436,2,23,28,2.9,27.3,0,6-0,222lb
Bobby Rainey,2TM,26,,15,6,150,566,5,0,80,3.8,37.7,1,5-8,205lb
Pierre Thomas,NOR,29,RB,16,9,147,549,2,32,18,3.7,34.3,2,5-11,210lb
Andre Brown,NYG,27,RB,8,8,139,492,3,31,23,3.5,61.5,3,6-0,224lb
Willis McGahee,CLE,32,rb,12,6,138,377,2,31,16,2.7,31.4,1,6-0,235lb
Doug Martin ,TAM,24,RB,6,6,127,456,1,18,28,3.6,76.0,2,5-9,210lb
Arian Foster ,HOU,27,RB,8,8,121,542,1,31,23,4.5,67.8,0,6-1,227lb
Montee Ball,DEN,23,,16,0,120,559,4,35,45,4.7,34.9,3,5-11,214lb
Andre Ellington,ARI,24,,15,1,118,652,3,27,80,5.5,43.5,1,5-9,200lb
Darren McFadden,OAK,26,rb,10,7,114,379,5,17,30,3.3,37.9,1,6-2,210lb
Cam Newton*,CAR,24,QB,16,16,111,585,6,45,56,5.3,36.6,3,6-5,245lb
Daniel Thomas,MIA,26,,15,1,109,406,4,17,55,3.7,27.1,0,6-0,225lb
Danny Woodhead,SDG,28,,16,2,106,429,2,27,14,4.0,26.8,2,5-9,200lb
Donald Brown,IND,26,rb,16,5,102,537,6,21,51,5.3,33.6,1,5-11,210lb
Mike Tolbert*+,CAR,28,RB,16,13,101,361,5,32,22,3.6,22.6,0,5-9,243lb
Jacquizz Rodgers ,ATL,23,rb,15,4,96,332,2,19,19,3.5,22.1,1,5-6,205lb
Russell Wilson *,SEA,25,QB,16,16,96,539,1,31,27,5.6,33.7,12,5-11,215lb
Colin Kaepernick,SFO,26,QB,16,16,92,524,4,28,28,5.7,32.8,9,6-4,225lb
James Starks,GNB,27,,13,1,89,493,3,27,41,5.5,37.9,1,6-1,203lb
Robert Griffin III,WAS,23,QB,13,13,86,489,0,26,26,5.7,37.6,11,6-2,213lb
Terrelle Pryor,OAK,24,QB,11,9,83,576,2,28,93,6.9,52.4,7,6-4,228lb
Kendall Hunter,SFO,25,,16,0,78,358,3,19,45,4.6,22.4,1,5-7,199lb
Mark Ingram,NOR,24,,11,3,78,386,1,18,34,4.9,35.1,1,5-9,215lb
Shonn Greene,TEN,28,,11,0,77,295,4,20,29,3.8,26.8,0,5-10,235lb
Robert Turbin,SEA,24,,16,0,77,264,0,10,15,3.4,16.5,1,5-10,225lb
Alex Smith*,KAN,29,QB,15,15,76,431,1,24,26,5.7,28.7,8,6-4,213lb
Jordan Todman,JAX,23,,16,2,76,256,2,17,33,3.4,16.0,0,5-10,200lb
Bryce Brown,PHI,22,,16,1,75,314,2,16,65,4.2,19.6,0,6-0,223lb
Peyton Hillis,NYG,27,,7,1,73,247,2,13,27,3.4,35.3,2,6-1,240lb
Geno Smith,NYJ,23,QB,16,16,72,366,6,24,32,5.1,22.9,8,6-3,221lb
Knile Davis ,KAN,22,,16,1,70,242,4,10,20,3.5,15.1,3,5-11,227lb
Daryl Richardson ,STL,23,,8,3,69,215,0,12,14,3.1,26.9,0,5-10,192lb
Michael Bush,CHI,29,,15,0,63,197,3,10,40,3.1,13.1,0,6-2,243lb
Andrew Luck *,IND,24,QB,16,16,63,377,4,23,29,6.0,23.6,6,6-4,240lb
Roy Helu,WAS,25,,16,0,62,274,4,20,24,4.4,17.1,2,6-0,216lb
Andy Dalton,CIN,26,QB,16,16,61,183,2,15,12,3.0,11.4,6,6-2,220lb
Mike James ,TAM,22,,8,3,60,295,0,14,24,4.9,36.9,0,5-10,223lb
Brandon Jacobs,NYG,31,,7,1,58,238,4,16,37,4.1,34.0,1,6-4,264lb
Nick Foles*,PHI,24,QB,13,10,57,221,3,16,21,3.9,17.0,4,6-6,243lb
Brandon Bolden,NWE,23,,12,2,55,271,3,16,46,4.9,22.6,0,5-11,220lb
Ronnie Hillman,DEN,22,,10,0,55,218,1,14,19,4.0,21.8,2,5-9,200lb
