Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Height,Weight
Robert Turbin,SEA,25,,16,3,74,310,0,16,17,4.2,19.4,1,5-10,225lb
Lorenzo Taliaferro,BAL,23,,13,0,68,292,4,17,31,4.3,22.5,1,6-0,229lb
Benny Cunningham,STL,24,,16,2,66,246,3,12,20,3.7,15.4,2,5-10,218lb
Charles Sims,TAM,24,,8,0,66,185,1,10,20,2.8,23.1,2,6-0,211lb
Devonta Freeman ,ATL,22,,16,0,65,248,1,10,31,3.8,15.5,1,5-8,206lb
Andrew Luck *,IND,25,QB,16,16,64,273,3,20,20,4.3,17.1,13,6-4,240lb
Stepfan Taylor,ARI,23,,14,4,63,208,1,13,21,3.3,14.9,0,5-9,214lb
DeAngelo Williams,CAR,31,rb,6,6,62,219,0,7,17,3.5,36.5,1,5-9,207lb
Andy Dalton*,CIN,27,QB,16,16,60,169,4,21,20,2.8,10.6,4,6-2,220lb
Geno Smith,NYJ,24,QB,14,13,59,238,1,18,18,4.0,17.0,8,6-3,221lb
Jacquizz Rodgers ,ATL,24,,16,1,58,217,1,12,17,3.7,13.6,1,5-6,205lb
