Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Height,Weight
Ryan Mathews,SDG,25,RB,12,9,184,707,1,35,31,3.8,58.9,2,6-0,220lb
DeAngelo Williams,CAR,29,RB,16,10,173,737,5,34,65,4.3,46.1,2,5-9,207lb
Willis McGahee,DEN,31,RB,10,9,167,731,4,44,31,4.4,73.1,5,6-0,235lb
DeMarco Murray,DAL,24,RB,10,10,161,663,4,39,48,4.1,66.3,3,6-1,220lb
Jonathan Dwyer,PIT,23,RB,13,6,156,623,2,29,34,4.0,47.9,2,5-11,235lb
Mark Ingram,NOR,23,rb,16,5,156,602,5,29,31,3.9,37.6,0,5-9,215lb
Knowshon Moreno,DEN,25,rb,8,6,138,525,4,32,20,3.8,65.6,1,5-10,215lb
Alex Green,GNB,24,,12,4,135,464,0,17,41,3.4,38.7,1,6-0,220lb
Cam Newton,CAR,23,QB,16,16,127,741,8,52,72,5.8,46.3,10,6-5,245lb
Robert Griffin III*,WAS,22,QB,15,15,120,815,7,45,76,6.8,54.3,12,6-2,213lb
Bryce Brown,PHI,21,,16,4,115,564,4,33,65,4.9,35.3,4,6-0,223lb
Fred Jackson,BUF,31,rb,10,8,115,437,3,26,15,3.8,43.7,5,6-1,215lb
Michael Bush,CHI,28,,13,1,114,411,5,28,20,3.6,31.6,1,6-2,243lb
Felix Jones,DAL,25,rb,16,7,111,402,3,24,22,3.6,25.1,2,6-0,200lb
Bilal Powell,NYJ,24,,14,2,110,437,4,24,18,4.0,31.2,0,5-10,204lb
Isaac Redman,PIT,28,rb,14,5,110,410,2,28,28,3.7,29.3,3,6-0,230lb
LaRod Stephens-Howling,ARI,25,rb,14,5,110,356,4,15,52,3.2,25.4,0,5-7,180lb
Donald Brown,IND,25,,10,4,108,417,1,23,19,3.9,41.7,0,5-11,210lb
Bernard Pierce,BAL,21,,16,0,108,532,1,24,78,4.9,33.3,0,6-0,222lb
Pierre Thomas,NOR,28,,15,4,105,473,1,17,48,4.5,31.5,0,5-11,210lb
Rashad Jennings,JAX,27,RB,10,6,101,283,2,16,21,2.8,28.3,3,6-1,234lb
Daryl Richardson ,STL,22,,16,0,98,475,0,22,53,4.8,29.7,3,5-10,192lb
Jackie Battle,SDG,29,rb,16,5,95,311,3,19,52,3.3,19.4,0,6-2,238lb
Jacquizz Rodgers ,ATL,22,,16,0,94,362,1,16,43,3.9,22.6,0,5-6,205lb
Russell Wilson *,SEA,24,QB,16,16,94,489,4,29,25,5.2,30.6,6,5-11,215lb
Jonathan Stewart,CAR,25,rb,9,6,93,336,1,15,21,3.6,37.3,2,5-10,240lb
Daniel Thomas,MIA,25,,12,0,91,325,4,15,20,3.6,27.1,3,6-0,225lb
Beanie Wells ,ARI,24,RB,8,7,88,234,5,11,31,2.7,29.3,1,6-1,235lb
Maurice Jones-Drew,JAX,27,rb,6,5,86,414,1,21,59,4.8,69.0,2,5-7,210lb
Peyton Hillis,KAN,26,,13,2,85,309,1,19,18,3.6,23.8,2,6-1,240lb
Ronnie Hillman,DEN,21,,14,0,85,330,1,19,31,3.9,23.6,2,5-9,200lb
Joique Bell,DET,26,,16,0,82,414,3,16,67,5.0,25.9,2,5-11,220lb
Robert Turbin,SEA,23,,16,0,80,354,0,16,26,4.4,22.1,0,5-10,225lb
Danny Woodhead,NWE,27,,16,2,76,301,4,20,19,4.0,18.8,1,5-9,200lb
Andre Brown,NYG,26,,10,2,73,385,8,26,31,5.3,38.5,0,6-0,224lb
Kendall Hunter,SFO,24,,11,0,72,371,2,18,26,5.2,33.7,1,5-7,199lb
Cedric Benson ,GNB,30,RB,5,5,71,248,1,10,11,3.5,49.6,1,5-11,227lb
James Starks,GNB,26,,6,2,71,255,1,13,22,3.6,42.5,1,6-1,203lb
David Wilson,NYG,21,,16,2,71,358,4,17,52,5.0,22.4,1,5-10,205lb
Montario Hardesty,CLE,25,,13,1,65,271,1,12,25,4.2,20.8,2,5-11,205lb
Ben Tate,HOU,24,,11,0,65,279,2,18,25,4.3,25.4,1,5-11,214lb
Justin Forsett,HOU,27,,16,0,63,374,1,14,81,5.9,23.4,0,5-8,195lb
Colin Kaepernick,SFO,25,qb,13,7,63,415,5,20,50,6.6,31.9,9,6-4,225lb
Andrew Luck *,IND,23,QB,16,16,62,255,5,24,19,4.1,15.9,10,6-4,240lb
Shane Vereen,NWE,23,,13,1,62,251,3,15,16,4.0,19.3,1,5-10,205lb
Michael Vick,PHI,32,QB,10,10,62,332,1,20,20,5.4,33.2,11,6-0,210lb
Christian Ponder,MIN,24,QB,16,16,60,253,2,12,29,4.2,15.8,7,6-2,222lb
William Powell,ARI,24,,13,1,60,217,0,10,17,3.6,16.7,2,5-9,207lb
Shaun Draughn,KAN,25,,16,0,59,233,2,16,25,3.9,14.6,2,6-0,205lb
Marcel Reece *,OAK,27,RB,16,14,59,271,0,16,17,4.6,16.9,2,6-1,235lb
Ryan Williams,ARI,22,,5,3,58,164,0,8,25,2.8,32.8,2,5-10,205lb
