Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Height,Weight
Le'Veon Bell*+,PIT,25,RB,15,15,321,1291,9,71,27,4.0,86.1,3,6-1,225lb
LeSean McCoy*,BUF,29,RB,16,16,287,1138,6,57,48,4.0,71.1,3,5-11,210lb
Melvin Gordon,LAC,24,RB,16,16,284,1105,8,61,87,3.9,69.1,1,6-1,215lb
Todd Gurley*+,LAR,23,RB,15,15,279,1305,13,69,57,4.7,87.0,5,6-1,224lb
Jordan Howard,CHI,23,RB,16,16,276,1122,9,65,53,4.1,70.1,1,6-0,224lb
Kareem Hunt*,KAN,22,RB,16,16,272,1327,8,63,69,4.9,82.9,1,5-11,216lb
Leonard Fournette ,JAX,22,RB,13,13,268,1040,9,51,90,3.9,80.0,2,6-0,228lb
Frank Gore,IND,34,RB,16,16,261,961,3,49,21,3.7,60.1,3,5-9,212lb
C.J. Anderson,DEN,26,RB,16,16,245,1007,3,47,40,4.1,62.9,1,5-8,225lb
Ezekiel Elliott,DAL,22,RB,10,10,242,983,7,57,30,4.1,98.3,1,6-0,228lb
Carlos Hyde,SFO,27,SS,16,16,240,938,8,48,61,3.9,58.6,2,6-0,229lb
Lamar Miller,HOU,26,RB,16,13,238,888,3,45,21,3.7,55.5,1,5-10,221lb
Mark Ingram*,NOR,28,,16,12,230,1124,12,52,72,4.9,70.3,3,5-9,215lb
Latavius Murray,MIN,27,RB,16,11,216,842,8,43,46,3.9,52.6,1,6-3,230lb
Alex Collins,BAL,23,RB,15,12,212,973,6,53,50,4.6,64.9,4,5-10,208lb
Jay Ajayi,2TM,24,,14,8,208,873,1,0,71,4.2,62.4,3,6-0,223lb
Marshawn Lynch ,OAK,31,RB,15,15,207,891,7,45,51,4.3,59.4,1,5-11,215lb
Isaiah Crowell,CLE,24,RB,16,16,206,853,2,39,59,4.1,53.3,1,5-11,225lb
Jonathan Stewart,CAR,30,RB,15,10,198,680,6,42,60,3.4,45.3,3,5-10,240lb
Devonta Freeman ,ATL,25,RB,14,14,196,865,7,55,44,4.4,61.8,4,5-8,206lb
DeMarco Murray,TEN,29,RB,15,15,184,659,6,33,75,3.6,43.9,1,6-1,220lb
Dion Lewis,NWE,27,RB,16,8,180,896,6,49,44,5.0,56.0,0,5-8,195lb
Joe Mixon,CIN,21,rb,14,7,178,626,4,39,25,3.5,44.7,3,6-1,220lb
Bilal Powell,NYJ,29,RB,15,10,178,772,5,32,75,4.3,51.5,1,5-10,204lb
Derrick Henry ,TEN,23,rb,16,2,176,744,5,40,75,4.2,46.5,1,6-3,247lb
Samaje Perine,WAS,22,RB,16,8,175,603,1,23,30,3.4,37.7,2,5-11,240lb
LeGarrette Blount,PHI,31,RB,16,11,173,766,2,33,68,4.4,47.9,1,6-0,247lb
Orleans Darkwa,NYG,25,RB,15,11,171,751,5,35,75,4.4,50.1,1,6-0,210lb
Ameer Abdullah,DET,24,RB,14,11,165,552,4,26,34,3.3,39.4,2,5-9,203lb
Tevin Coleman,ATL,24,rb,15,3,156,628,5,27,52,4.0,41.9,1,6-1,210lb
Adrian Peterson,2TM,32,,10,7,156,529,2,0,27,3.4,52.9,3,6-1,220lb
Javorius Allen,BAL,26,,16,0,153,591,4,39,37,3.9,36.9,0,6-0,218lb
Jamaal Williams,GNB,22,RB,16,7,153,556,4,32,25,3.6,34.8,0,6-0,213lb
Jerick McKinnon ,MIN,25,,16,1,150,570,3,24,58,3.8,35.6,3,5-9,205lb
Cam Newton,CAR,28,QB,16,16,139,754,6,46,69,5.4,47.1,9,6-5,245lb
Doug Martin ,TAM,28,RB,11,8,138,406,3,22,27,2.9,36.9,1,5-9,210lb
Kenyan Drake,MIA,23,rb,16,6,133,644,3,26,66,4.8,40.3,2,6-1,211lb
Alvin Kamara*,NOR,22,rb,16,3,120,728,8,42,74,6.1,45.5,1,5-10,215lb
Kerwynn Williams,ARI,26,,16,6,120,426,1,21,25,3.6,26.6,0,5-8,198lb
Christian McCaffrey ,CAR,21,RB,16,10,117,435,2,22,40,3.7,27.2,2,5-11,205lb
Alfred Morris ,DAL,29,rb,14,5,115,547,1,25,70,4.8,39.1,0,5-10,222lb
Chris Ivory,JAX,29,,14,3,112,382,1,18,34,3.4,27.3,2,6-0,223lb
Wayne Gallman,NYG,23,,13,1,111,476,0,24,24,4.3,36.6,3,6-0,210lb
Peyton Barber,TAM,23,,16,4,108,423,3,25,34,3.9,26.4,2,5-11,225lb
Giovani Bernard,CIN,26,,16,2,105,458,2,21,25,4.4,28.6,0,5-9,205lb
Matt Breida,SFO,22,,16,0,105,465,2,23,33,4.4,29.1,1,5-10,190lb
Mike Gillislee ,NWE,27,,9,2,104,383,5,25,16,3.7,42.6,1,5-11,210lb
Matt Forte ,NYJ,32,rb,12,4,103,381,2,13,20,3.7,31.8,1,6-1,221lb
Russell Wilson *,SEA,29,QB,16,16,95,586,3,36,31,6.2,36.6,14,5-11,215lb
Marlon Mack,IND,21,,14,0,93,358,3,20,35,3.8,25.6,1,6-0,210lb
Elijah McGuire ,NYJ,23,,16,2,88,315,1,14,69,3.6,19.7,2,5-10,214lb
Tarik Cohen,CHI,22,,16,4,87,370,2,19,46,4.3,23.1,3,5-6,191lb
Theo Riddick,DET,26,rb,16,5,84,286,3,12,21,3.4,17.9,1,5-9,201lb
Tyrod Taylor ,BUF,28,QB,15,14,84,427,4,28,32,5.1,28.5,4,6-1,217lb
Duke Johnson,CLE,24,,16,0,82,348,4,27,19,4.2,21.8,4,5-9,210lb
Aaron Jones,GNB,23,,12,4,81,448,4,23,46,5.5,37.3,0,5-9,208lb
Devontae Booker,DEN,25,,13,0,79,299,1,13,26,3.8,23.0,2,5-11,219lb
D'Onta Foreman,HOU,21,,10,1,78,327,2,13,39,4.2,32.7,2,6-1,236lb
DeShone Kizer ,CLE,21,QB,15,15,77,419,5,32,20,5.4,27.9,9,6-4,235lb
Corey Clement,PHI,23,,16,0,74,321,4,19,28,4.3,20.1,0,5-10,220lb
Dalvin Cook,MIN,22,rb,4,4,74,354,2,16,33,4.8,88.5,1,5-10,210lb
Alfred Blue,HOU,26,,11,0,71,262,1,10,48,3.7,23.8,0,6-2,225lb
Ty Montgomery,GNB,24,rb,8,5,71,273,3,13,37,3.8,34.1,0,6-0,216lb
Jamaal Charles,DEN,31,,14,0,69,296,1,17,19,4.3,21.1,2,5-11,199lb
Eddie Lacy,SEA,27,,9,3,69,179,0,7,19,2.6,19.9,0,5-11,250lb
Mike Davis,SEA,24,RB,6,6,68,240,0,11,33,3.5,40.0,0,5-9,221lb
Mike Tolbert,BUF,32,,12,0,66,247,1,9,25,3.7,20.6,2,5-9,243lb
Rex Burkhead ,NWE,27,,10,3,64,264,5,14,31,4.1,26.4,1,5-10,215lb
Jacquizz Rodgers ,TAM,27,,16,4,64,244,1,11,36,3.8,15.3,0,5-6,205lb
Chris Thompson,WAS,27,,10,1,64,294,2,11,61,4.6,29.4,3,5-8,195lb
Carson Wentz *,PHI,25,QB,13,13,64,299,0,27,24,4.7,23.0,9,6-5,237lb
Jacoby Brissett,IND,25,QB,16,15,63,260,4,15,25,4.1,16.3,8,6-4,238lb
Malcolm Brown ,LAR,24,,11,1,63,246,1,10,20,3.9,22.4,1,5-11,222lb
Robert Kelley ,WAS,25,rb,7,7,62,194,3,7,21,3.1,27.7,0,6-0,229lb
