Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Height,Weight
Kenyan Drake,2TM,25,,14,10,170,817,8,48,80,4.8,58.4,2,6-1,211lb
Frank Gore,BUF,36,rb,16,8,166,599,2,30,41,3.6,37.4,0,5-9,212lb
Melvin Gordon,LAC,26,RB,12,11,162,612,8,39,24,3.8,51.0,4,6-1,215lb
Peyton Barber,TAM,25,rb,16,7,154,470,6,23,17,3.1,29.4,1,5-11,225lb
Devin Singletary,BUF,22,RB,12,8,151,775,2,37,38,5.1,64.6,4,5-7,203lb
Latavius Murray,NOR,29,rb,16,8,146,637,5,38,30,4.4,39.8,0,6-3,230lb
Tevin Coleman,SFO,26,RB,14,11,137,544,6,26,48,4.0,38.9,0,6-1,210lb
Raheem Mostert,SFO,27,,16,0,137,772,8,31,41,5.6,48.3,2,5-10,197lb
Gus Edwards ,BAL,24,,16,1,133,711,2,46,63,5.3,44.4,2,6-1,238lb
Austin Ekeler,LAC,24,rb,16,8,132,557,3,32,35,4.2,34.8,3,5-10,200lb
Royce Freeman,DEN,23,,16,0,132,496,3,22,26,3.8,31.0,0,6-0,238lb
Matt Breida,SFO,24,rb,13,5,123,623,1,23,83,5.1,47.9,2,5-10,190lb
Jordan Howard,PHI,25,,10,4,119,525,6,28,20,4.4,52.5,0,6-0,224lb
James Conner,PIT,24,RB,10,10,116,464,4,26,25,4.0,46.4,1,6-1,233lb
Kerryon Johnson,DET,22,RB,8,7,113,403,3,22,20,3.6,50.4,1,5-11,211lb
Damien Williams ,KAN,27,rb,11,6,111,498,5,22,91,4.5,45.3,1,5-11,224lb
Josh Allen ,BUF,23,QB,16,16,109,510,9,42,36,4.7,31.9,14,6-5,237lb
Benny Snell Jr.,PIT,21,,13,2,108,426,2,19,23,3.9,32.8,1,5-10,224lb
DeAndre Washington,OAK,26,,16,3,108,387,3,23,36,3.6,24.2,0,5-8,210lb
Jamaal Williams,GNB,24,,14,2,107,460,1,23,45,4.3,32.9,0,6-0,213lb
LeSean McCoy,KAN,31,RB,13,9,101,465,4,24,39,4.6,35.8,3,5-11,210lb
Alexander Mattison,MIN,21,,13,0,100,462,1,19,35,4.6,35.5,1,5-11,220lb
David Johnson,ARI,28,rb,13,9,94,345,2,20,18,3.7,26.5,1,6-1,224lb
Kyler Murray ,ARI,22,QB,16,16,93,544,4,27,35,5.8,34.0,5,5-10,207lb
Bo Scarbrough,DET,23,rb,6,5,89,377,1,15,30,4.2,62.8,1,6-1,235lb
Tony Pollard,DAL,22,,15,0,86,455,2,21,44,5.3,30.3,1,6-0,209lb
Duke Johnson,HOU,26,,16,2,83,410,2,17,40,4.9,25.6,1,5-9,210lb
Deshaun Watson *,HOU,24,QB,15,15,82,413,7,29,30,5.0,27.5,10,6-2,220lb
Brian Hill,ATL,24,,12,2,78,323,2,19,27,4.1,26.9,0,6-1,219lb
Russell Wilson *,SEA,31,QB,16,16,75,342,3,17,21,4.6,21.4,8,5-11,215lb
Kalen Ballage,MIA,24,RB,12,6,74,135,3,10,8,1.8,11.3,0,6-2,231lb
Malcolm Brown ,LAR,26,,14,1,69,255,5,16,17,3.7,18.2,0,5-11,222lb
Gardner Minshew II,JAX,23,QB,14,12,67,344,0,20,21,5.1,24.6,13,6-1,225lb
James White ,NWE,27,,15,1,67,263,1,15,32,3.9,17.5,1,5-10,205lb
Jaylen Samuels,PIT,23,,14,4,66,175,1,9,13,2.7,12.5,1,6-0,225lb
Rex Burkhead ,NWE,29,,13,1,65,302,3,18,33,4.6,23.2,1,5-10,215lb
Rashaad Penny,SEA,23,,10,0,65,370,3,16,58,5.7,37.0,1,5-11,220lb
Tarik Cohen,CHI,24,RB,16,11,64,213,0,15,19,3.3,13.3,3,5-6,191lb
Ty Johnson,DET,22,,16,1,63,273,0,11,40,4.3,17.1,1,5-10,210lb
Patrick Laird,MIA,24,,15,4,62,168,1,9,18,2.7,11.2,0,6-0,205lb
Carson Wentz ,PHI,27,QB,16,16,62,243,1,21,19,3.9,15.2,16,6-5,237lb
Boston Scott,PHI,24,,11,2,61,245,5,17,25,4.0,22.3,4,5-6,203lb
Chase Edmonds,ARI,23,,13,2,60,303,4,12,37,5.1,23.3,0,5-9,210lb
Bilal Powell,NYJ,31,,13,1,59,229,0,12,17,3.9,17.6,0,5-10,204lb
Jameis Winston,TAM,25,QB,16,16,59,250,1,18,26,4.2,15.6,12,6-4,231lb
Justice Hill,BAL,22,,16,0,58,225,2,10,18,3.9,14.1,0,5-10,200lb
Jacoby Brissett,IND,27,QB,15,15,56,228,4,20,24,4.1,15.2,7,6-4,238lb
Ryan Fitzpatrick,MIA,37,QB,15,13,54,243,4,16,20,4.5,16.2,9,6-2,228lb
Dion Lewis,TEN,29,,16,1,54,209,0,6,17,3.9,13.1,1,5-8,195lb
